Subject,Age,Sex,Ethnicity,Finished_O,OPT,Finish_M,MPT,GM,GNT,SBSOD,SA,ET,GPS
72,19,male,1,12,22.5,12,14.67,1.625,2.083333333,4.933333333,1.375,4.75,2.6
73,19,female,6,12,33.67,12,27.33,4.25,2.5,3.733333333,2.375,4,3.4
74,18,female,1,12,36.75,12,34.33,4.375,4.166666667,2.866666667,2.375,4,4.8
75,18,male,4,12,42.83,12,32.92,1.875,3.083333333,5.533333333,1.5,4.5,2.4
76,19,female,4,12,18.17,12,17.83,4,4.166666667,5.133333333,2.125,2,2.8
77,19,female,1,12,24,12,12.33,3.375,3.666666667,4.8,3.625,2.75,4
78,19,female,1,12,26.17,12,34.17,4,3.75,5,2.375,3,4
79,18,female,4,12,9.58,12,14,2,3.416666667,5.066666667,3.125,4.25,4.4
80,18,female,6,12,36.5,12,37.33,4.25,3.583333333,4.666666667,2.75,4.75,2.8
81,20,male,1,12,25.92,12,19.83,5,4,4.466666667,2,3,3.4
82,18,male,5,12,17.33,12,17.42,3.125,4.166666667,3.333333333,2.625,3,3.2
83,18,female,6,12,88.17,12,99.83,3.75,3.916666667,3.8,2.625,4,4
84,20,female,4,12,30.08,12,31.17,3.625,3.416666667,3.466666667,3.5,3.25,4.8
85,18,female,6,12,10.25,12,15.25,4.5,4.416666667,4,2,3.25,3.2
86,18,female,1,12,29.17,12,30.25,3.75,2.666666667,2.533333333,3.5,1.75,5
87,19,female,4,12,22.5,12,34.08,3,2.75,4.266666667,3,3.75,2.4
88,19,female,4,12,38.33,12,32.17,4.625,2.666666667,1.6,3.5,3,4.8
89,25,female,1,12,8.08,12,17.08,4.5,3.666666667,4.733333333,2,2.75,4.2
90,20,female,1,12,68.5,12,73.25,4,3.083333333,4,3,2,3.4
91,24,male,4,12,38.5,12,13.92,3,2.083333333,5.6,3.75,2.5,5
92,20,female,2,12,24.08,12,32,3.125,4,2.333333333,2.875,3.5,3.4
93,18,female,3,12,16.83,12,21.58,4.5,4.25,3.266666667,3,4.25,4.4
94,21,female,1,12,19.42,12,28.67,4.25,3.75,4.733333333,2.25,3.5,4.4
95,19,male,1,12,19.08,12,11.25,4,3.666666667,5.8,2,5,3.2
96,21,female,1,11,42.90545455,12,49.83,4.625,4,4.666666667,1.5,5,2.6
97,18,male,6,12,30.92,12,36.58,3.875,3.083333333,4.066666667,2.25,3.5,4
98,20,male,8,12,22.83,12,44.08,3.875,3.75,3.266666667,2.25,4.25,3.6
99,23,male,1,12,8.67,12,18.17,4,3.666666667,5,1.125,5,2.2
100,19,male,4,12,109.75,12,98.08,3.5,3.833333333,3.666666667,2.625,5.25,3.8
101,20,male,1,12,51.17,12,45.92,4.75,3.666666667,4.4,2.5,3.5,4
102,23,male,4,12,27.42,12,16.33,3.375,3.5,3.866666667,2.5,5.5,3.6
103,19,male,6,12,29.33,12,18.33,2,3,6.066666667,1.25,3.75,3.2
104,21,male,6,12,22.75,12,10.25,4,3.166666667,4.2,2.625,2,3.4
105,20,male,5,12,10.5,12,16.17,4,3.583333333,2.133333333,2.625,3,3.4
106,18,male,1,10,41.7,12,16.92,4,2.333333333,4.8,1.25,6,2.4
107,19,male,4,12,9.75,12,12.25,2,2.666666667,3.2,3.875,2.25,2.4
108,18,male,4,12,33.83,12,35.75,4.125,3.833333333,4.266666667,2.375,3.25,4
109,19,male,6,12,7.75,12,17.83,4.5,3.916666667,5,2.25,4,3
110,18,male,6,12,19.67,12,16,4.125,3.75,3.933333333,2.75,4.5,4.2
111,18,male,1,12,4.83,12,15.5,4.25,4.5,5,1.875,5.25,2.8
112,18,male,1,12,10.75,12,15.83,3.75,3.5,4.466666667,1.875,4,3.4
113,19,male,1,12,12.42,12,21.42,2,2,3.4,3,5,2.6
114,24,male,6,12,50,12,43.33,5,4.666666667,5.333333333,2.125,4,3
115,19,male,4,12,5.17,12,8.92,3.375,3.666666667,3.333333333,2.25,2.75,4
116,20,male,5,12,6.92,12,16.08,2.875,2.416666667,3.4,2.25,3.25,3.8
117,18,male,2,12,17,12,16.75,4,4.333333333,3.866666667,2.625,4.25,3
118,18,male,6,11,82.09090909,12,68.08,3.75,3,2.866666667,3.125,2.25,3.2
119,18,male,4,12,29.58,12,26.17,4.875,3.666666667,3.8,2.875,4.5,4
120,19,male,4,12,9.75,12,11.67,5,4.083333333,4.933333333,1.375,5.75,2.4
121,22,male,1,12,25.83,12,45.08,4.25,2.083333333,2.133333333,3.75,3.75,3.4
122,19,male,4,12,31.67,12,14.08,3.625,3,2.866666667,4.25,1.75,4.6
123,19,male,4,12,39.75,12,29.42,4,3.666666667,4.2,1.5,4,3.4
124,18,male,4,12,3.92,12,8.67,2.5,2.666666667,3.666666667,2.75,2,2
