StartDate,SubNum,Gender,Age,GGM,GMN,SBSOD,SA,ET,GPS,OPT
10/16/18 11:12,72,1,20,3.25,1.916666667,4.266666667,1.076923077,3.75,2.5,26.08333333
10/16/18 12:26,73,2,20,4.75,3.916666667,4.066666667,2.923076923,3.125,4.5,19.08333333
10/16/18 12:26,74,2,19,1.875,2,5.133333333,1.538461538,5.125,1.625,29.08333333
10/16/18 12:26,75,2,20,3.5,2,2.333333333,2.692307692,2,4.375,68.91666667
10/16/18 12:26,76,2,20,3.875,2.75,1.866666667,2.923076923,3.25,4.75,42.5
10/16/18 12:26,77,2,19,4,2.833333333,3.666666667,2.538461538,3.875,3.375,29.75
10/16/18 12:26,78,2,18,2.25,3,4,3.076923077,2.625,3.875,35.2
10/17/18 9:31,79,1,19,3,3.666666667,4.333333333,1.692307692,4,3.125,45.33333333
10/17/18 9:31,80,1,17,2.625,3.416666667,4,,4.875,2.25,20.85714286
10/17/18 9:31,81,1,18,4,3.416666667,2.866666667,2.769230769,3.5,4.25,19.66666667
10/17/18 9:30,82,1,19,3.75,3.333333333,1.466666667,1,2.5,4.5,14.83333333
10/17/18 10:16,83,2,19,2,2.416666667,4.6,2,3.625,3.625,32.91666667
10/17/18 10:16,84,2,20,4.5,4.333333333,5.333333333,3.461538462,3.125,2.875,7.583333333
10/17/18 10:16,85,2,18,4,3.666666667,3.6,3.615384615,4,4,37.5
10/17/18 10:18,86,2,19,2.875,3.25,2.933333333,3.615384615,3.25,4.25,59.75
10/17/18 10:16,87,2,18,4.75,3.666666667,5.333333333,3.692307692,3.5,3.375,28.75
10/17/18 10:16,88,2,19,3.75,2.333333333,4.4,1.923076923,4.625,3,13.66666667
10/17/18 10:31,89,1,20,1,2.333333333,4.066666667,1.461538462,4.75,3.75,26.375
10/17/18 10:30,90,1,18,1.625,3.833333333,4.533333333,1.846153846,4.625,2.375,18.63636364
10/17/18 10:30,91,1,18,2,2.666666667,3.333333333,2.692307692,3.125,2.625,14.25
10/17/18 10:30,92,1,20,4.625,2.416666667,2,3.076923077,2,3.875,19.83333333
10/17/18 11:39,93,2,18,4.125,2.75,3.4,3.153846154,3.5,4.125,74.66666667
10/17/18 11:39,94,2,18,1.625,4.25,3,2.769230769,2.5,3.875,25.72727273
10/17/18 11:39,95,2,19,3.125,2.416666667,2.733333333,4,3.625,2.875,59.72727273
10/17/18 11:39,96,2,19,4,3.333333333,4.6,3.076923077,3.875,3.875,64
10/17/18 11:39,97,2,20,3.75,2.833333333,4.2,2.307692308,4.375,3,24.58333333
10/17/18 12:23,98,1,18,3.875,2.333333333,5.933333333,2,5.625,2.5,6.25
10/17/18 12:23,99,1,18,3.625,3.5,5.733333333,2,4.125,3.875,10.16666667
10/17/18 12:24,100,1,18,3.25,3.5,5.4,2.692307692,4,1.375,28.5
10/17/18 12:24,101,1,20,2.75,3.666666667,3.666666667,2.153846154,4.375,2.875,20.75
10/17/18 12:24,102,1,18,3,3,3.8,2.384615385,3.375,3.125,6.583333333
10/17/18 10:30,103,1,18,3.5,3.083333333,4.933333333,2.307692308,4,2.625,10.5
10/18/18 9:27,104,2,18,3,3.083333333,5.066666667,2.307692308,4,3.125,18.25
10/18/18 9:27,105,2,18,5,4.166666667,4.466666667,3.692307692,3.5,2.625,16.58333333
10/18/18 9:27,106,2,19,3.5,1.916666667,3.866666667,3.153846154,2.375,4.375,10.33333333
10/18/18 9:27,107,2,19,4.625,3.583333333,4.333333333,2.615384615,2.875,4.5,42.375
10/18/18 9:27,108,2,19,4.125,3.583333333,5.2,1.461538462,3.5,3.125,14
10/18/18 9:41,109,1,18,5,3.916666667,5.533333333,1.615384615,5.75,1.625,15.58333333
10/18/18 9:42,110,1,18,1.875,2.25,3.066666667,3.230769231,2.75,3.125,10.33333333
10/18/18 9:43,111,1,19,3.75,4.166666667,4.733333333,1.307692308,4.5,3.375,7.666666667
10/18/18 9:43,112,1,19,4.875,2.833333333,3.6,3.384615385,4.125,3.5,71.5
10/18/18 9:43,113,1,18,4,3.666666667,5,1.307692308,4.375,3,24.375
10/18/18 10:28,114,2,21,4.25,2,2.466666667,3.384615385,1.25,4.625,67.66666667
10/18/18 10:29,115,2,18,3.625,3.666666667,2.666666667,3.846153846,2.75,4.25,57.5
10/18/18 10:29,116,2,17,2.625,2.5,3.2,3.384615385,3.5,4.375,15.83333333
10/18/18 10:30,117,2,20,4.375,3.083333333,3.333333333,2.846153846,3.25,4,18.5
10/18/18 10:30,118,2,18,4.5,2,2.6,3.769230769,1.875,3.875,28.91666667
10/18/18 10:56,119,2,18,4.25,3.666666667,3.866666667,3.692307692,4,2.875,63.625
10/18/18 11:44,120,1,19,3.25,3.5,5.733333333,2.615384615,4.125,3.75,20.25
10/18/18 11:44,121,1,18,1.125,3.166666667,1.866666667,4.153846154,3.25,4,7.833333333
10/18/18 11:44,122,1,18,2.625,3.5,4.666666667,2.615384615,3.5,2.625,24.41666667
10/18/18 11:44,123,1,17,2,2.416666667,4.8,2.153846154,3.625,3.375,7.666666667
10/18/18 11:44,124,1,18,2.875,2.833333333,5.666666667,2,4.125,2.875,12.33333333
10/18/18 12:25,125,2,20,2.625,1.75,2.8,1.692307692,3.75,4.25,38.83333333
10/18/18 12:25,126,2,20,3.625,3.5,2.933333333,3.692307692,4.75,4.5,18.66666667
10/18/18 12:25,127,2,19,4.75,3.916666667,3.4,1.692307692,5.125,3.875,34.83333333
10/18/18 12:25,128,2,19,4,1.833333333,2.4,2.230769231,1.375,4,49.08333333
10/18/18 12:25,129,2,19,3.5,3.416666667,3.4,2.307692308,3.5,4.25,16
10/19/18 9:52,130,1,19,3.625,3,5.2,1.923076923,4.25,2.75,15.33333333
10/19/18 9:54,131,1,19,4.25,3.25,5,2.538461538,3.125,3.5,15.83333333
10/19/18 9:54,132,1,18,4.25,4,5.2,2.538461538,2.375,3.25,10.41666667
10/19/18 9:54,133,1,18,1.875,1.5,2.6,3.076923077,2.375,4,23.75
10/18/18 12:38,134,1,18,4.125,2.25,4.2,2.615384615,5.125,4.375,37.5
10/19/18 10:42,135,2,18,3.25,2.666666667,2.4,3.461538462,2.125,4,
10/19/18 10:42,136,2,18,4,3.416666667,4.466666667,3.461538462,1.875,3.875,12.25
10/19/18 10:42,137,2,18,3.875,2.333333333,2.733333333,3.230769231,2.375,4.25,12.16666667
10/19/18 10:42,138,2,19,4.625,3.25,3.4,3,2.875,4,14.58333333
10/19/18 10:42,139,2,18,4.625,4.333333333,5.933333333,1.076923077,7,2.5,9.666666667
10/19/18 11:24,140,1,18,4.75,4.5,4.733333333,2,3.375,2.375,5.333333333
10/19/18 11:25,141,1,18,2.5,3.333333333,4.066666667,3.230769231,3.5,4,9
10/19/18 11:25,142,1,19,3.375,3.5,3.6,2.923076923,2.625,3.375,16.08333333
10/19/18 11:25,143,1,18,4.125,3.25,3.533333333,2.692307692,4.125,4,24.75
10/19/18 11:25,144,1,21,1.375,2,1.533333333,2,2.25,4.25,20.83333333
10/19/18 10:43,145,1,18,4.5,4.083333333,5.533333333,1.230769231,5.125,1.75,13.66666667
10/19/18 12:43,151,1,20,4.25,2.75,3.733333333,1.769230769,4.875,4.5,11.08333333
10/19/18 12:42,152,1,18,4.125,2.25,6.2,1.538461538,6,2.875,5.5
10/19/18 12:42,153,1,18,3.875,3.75,5.133333333,1.384615385,5.625,3,15.5
10/19/18 12:42,154,1,18,2,3.666666667,2.4,3,2.5,4.25,9.083333333
10/19/18 12:42,155,1,18,3,3.666666667,4.533333333,2.384615385,4.75,2.875,18.5
10/19/18 12:09,156,1,23,4.125,4.083333333,5.333333333,2.692307692,3.875,3.5,21.75
10/22/18 11:23,157,2,18,3.5,3.75,3.6,3.769230769,5.5,4,62.25
10/22/18 11:23,158,2,17,2.125,3.75,2.8,2.846153846,4.75,2.875,48.75
10/22/18 12:07,159,1,18,2.5,2,5.866666667,1.384615385,5.75,2.25,17.33333333
10/22/18 12:07,160,1,18,3.375,1.75,3.266666667,2.923076923,4.25,3.625,18.83333333
10/22/18 12:07,161,1,18,3.875,3.333333333,3.133333333,1.846153846,3.625,4,10.83333333
